Country Name,Country Code,Series Name,Series Code,1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Argentina,ARG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..,..,..,..,..,..,..,..,..,..,3.07554132838369,3.20203130674861,3.21897372210352,3.2457952806325,3.25294528747174,3.2413418931481,3.47695320506142,3.5369899542418,3.67879380151389,3.68851827413871,3.58739203786108,3.3603711850022,3.11742482880113,3.35172371332405,3.67297399646765,3.75363923507433,3.94249128952415,4.10262963566713,4.1723885308823,3.86756996725025,4.09968971416256,4.2809893532601,4.26422378235981,4.34211506853729,4.20909563279429,4.30191387639872,4.20184577616112,4.07130836193664,3.97577197057929,3.74065029063396,..,..
Argentina,ARG,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1498.78124635707,1440.78027521133,1426.35127133433,1429.28032825042,1456.76889711191,1368.43319317491,1428.87629693302,1483.77216423937,1510.83372259487,1446.65773323039,1412.17995914484,1435.48457114879,1489.34786032046,1474.30689274036,1548.62339314429,1551.74521381659,1589.91755634679,1621.90909509539,1658.49577179954,1668.22514401839,1669.52633732128,1570.89750079167,1510.31344277254,1598.78962502126,1728.21409244578,1720.67402286339,1853.04176068156,1858.39184324341,1937.64151484529,1865.33735598138,1928.65235658729,1952.05105293095,1936.80353979442,1967.02167752077,2029.92282543737,..,..,..,..,..,..,..
Argentina,ARG,Forest area (sq. km),AG.LND.FRST.K2,..,..,..,..,..,..,..,..,..,..,352040,350214,348388,346562,344736,342910,341084,339258,337432,335606,333780,330616,327452,324288,321124,317960,314796,311632,308468,305304,302140,299906,297672,295438,293204,290970,290100,288990,287910,286810,285730,..
Argentina,ARG,Population density (people per sq. km of land area),EN.POP.DNST,10.1935301404251,10.3550325393084,10.5216703389861,10.6924967753016,10.8660816533842,11.0411789424451,11.2175525909036,11.3949373147854,11.5719862315425,11.7470875400575,11.9190145760024,12.0872301941396,12.251778608465,12.4128428868451,12.570904632969,12.7263840624989,12.8791993247317,13.0294034033815,13.1777625525726,13.3253010023057,13.4727703905082,13.6207038429636,13.7690944169782,13.9174937607109,14.0651553519032,14.2116659175866,14.3567141327662,14.5008397005141,14.6454874318977,14.792609320018,14.904301546759,15.0771515955406,15.2495426957383,15.421160233713,15.5916453818299,15.7606327351655,15.9281350828921,16.0941907925267,16.2585100979651,16.4208266190179,16.580892611147,..
Argentina,ARG,Population growth (annual %),SP.POP.GROW,1.53698027406277,1.5719418140512,1.59643349568329,1.61052873578814,1.61039031434213,1.59856607352161,1.584792373551,1.56894144187589,1.54180357385285,1.50181436290741,1.45296474870991,1.40145510449441,1.35215795127188,1.30605343285023,1.26533343238916,1.22923360808769,1.19362308026821,1.15950491868107,1.1322150155202,1.11338052309698,1.10060813455916,1.09203361158056,1.08355691032176,1.07200471174976,1.05538943935448,1.03626836534216,1.01545457815013,0.998884153148277,0.992570475708135,0.999542288700286,0.752217992640236,1.15305928006386,1.13690569378967,1.11910919999772,1.09946109101836,1.07800134449604,1.05718157762752,1.03713389686514,1.01580834908002,0.993397493293046,0.970053991438048,0.947490959333989
Argentina,ARG,"Population, total",SP.POP.TOTL,27896532,28338514,28794550,29262049,29737097,30216284,30698964,31184411,31668939,32148137,32618648,33079002,33529320,33970103,34402669,34828168,35246376,35657438,36063451,36467218,36870796,37275644,37681743,38087866,38491970,38892924,39289876,39684303,40080159,40482786,40788453,41261490,41733271,42202935,42669500,43131966,43590368,44044811,44494502,44938712,45376763,45808747
Argentina,ARG,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,0.3,..,..,..,..,..,1.1,1.2,..,..,..,1,1.7,2,1.9,3.9,4.2,3.8,4,4.2,5,8.2,12.4,5.3,3.8,2.6,2.1,1.7,1.6,1.5,0.7,0.7,0.6,0.6,0.6,..,0.7,0.4,0.8,0.8,1.1,..
Argentina,ARG,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30.3,25.7,32,35.5,42,..
Argentina,ARG,Urban population growth (annual %),SP.URB.GROW,1.98558165056016,2.08457967159569,2.13033647273011,2.12853439901621,2.11626930959142,2.09014235591245,2.06225943979013,2.03365611981907,1.99509157348324,1.94151381147961,1.88039256922654,1.79614986112158,1.59690978565893,1.54565281756343,1.5020850161068,1.46088741767878,1.42248081328047,1.38331987261867,1.35215249014356,1.33058942885232,1.31397801892401,1.30159136693302,1.28597329232975,1.2684396647978,1.24920953487121,1.22638308678468,1.20299247011043,1.18275022667788,1.17389103087434,1.1772245502055,0.926286488598646,1.30814131603172,1.28077370283392,1.25948243003778,1.2396386789085,1.21579706300955,1.19260291906809,1.17019595911431,1.14760215897919,1.12501972603644,1.10041505272326,1.07551503856124
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.51878394990179,-5.18978914135593,-0.735659159103619,4.34909327926756,1.57073870182023,-5.18902435343904,6.15337706275693,2.70486882770558,-1.08993334133791,-7.15694965597953,-2.46721377810472,9.13311056738961,7.93729155643076,8.20697907221228,5.83620070368526,-2.84520961057079,5.52668982715234,8.1110467707457,3.85017885156228,-3.38545704063269,-0.78899893905691,-4.40883968258557,-10.8944848285903,8.83704079576924,9.02957330068152,8.85165992013437,8.04715150043027,9.00765087504757,4.05723310346406,-5.91852507634947,10.1253981561002,6.00395169280579,-1.0264204544321,2.40532378079436,-2.51261532081394,2.73115982828944,-2.08032784377811,2.81850297775918,-2.61739646282038,-2.0259342366392,-9.89526896368687,10.2637609278887
